Day,Hour,Region,% of Total Sum of Trip Count,Sum of Trip Count,ID,,
1,0,CBD,0.0384805,624,10,,
1,0,Central,0.3529230,5723,0,,
1,0,Central East,0.0445239,722,1,,
1,0,East,0.1110631,1801,4,,
1,0,North,0.0357055,579,2,,
1,0,North East,0.0258387,419,8,,
1,0,North West,0.0253453,411,9,,
1,0,South,0.1200666,1947,3,,
1,0,South East,0.1391219,2256,7,,
1,0,South West,0.0753577,1222,6,,
1,0,West,0.0315738,512,5,,
2,0,CBD,0.0449124,738,10,,
2,0,Central,0.3495618,5744,0,,
2,0,Central East,0.0408958,672,1,,
2,0,East,0.1200706,1973,4,,
2,0,North,0.0356621,586,2,,
2,0,North East,0.0255599,420,8,,
2,0,North West,0.0275073,452,9,,
2,0,South,0.1155063,1898,3,,
2,0,South East,0.1469085,2414,7,,
2,0,South West,0.0668208,1098,6,,
2,0,West,0.0265944,437,5,,
3,0,CBD,0.0347671,839,10,,
3,0,Central,0.3783773,9131,0,,
3,0,Central East,0.0409415,988,1,,
3,0,East,0.1099785,2654,4,,
3,0,North,0.0346014,835,2,,
3,0,North East,0.0259821,627,8,,
3,0,North West,0.0266037,642,9,,
3,0,South,0.1229073,2966,3,,
3,0,South East,0.1300762,3139,7,,
3,0,South West,0.0699486,1688,6,,
3,0,West,0.0258163,623,5,,
4,0,CBD,0.0209449,477,10,,
4,0,Central,0.3353385,7637,0,,
4,0,Central East,0.0507157,1155,1,,
4,0,East,0.1012558,2306,4,,
4,0,North,0.0391675,892,2,,
4,0,North East,0.0335470,764,8,,
4,0,North West,0.0363133,827,9,,
4,0,South,0.1100817,2507,3,,
4,0,South East,0.1734434,3950,7,,
4,0,South West,0.0707386,1611,6,,
4,0,West,0.0284535,648,5,,
5,0,CBD,0.0104070,135,10,,
5,0,Central,0.2972556,3856,0,,
5,0,Central East,0.0423219,549,1,,
5,0,East,0.1749923,2270,4,,
5,0,North,0.0520352,675,2,,
5,0,North East,0.0303731,394,8,,
5,0,North West,0.0347672,451,9,,
5,0,South,0.1005242,1304,3,,
5,0,South East,0.1598828,2074,7,,
5,0,South West,0.0649861,843,6,,
5,0,West,0.0324545,421,5,,
1,1,CBD,0.0326067,350,10,,
1,1,Central,0.3894168,4180,0,,
1,1,Central East,0.0456493,490,1,,
1,1,East,0.0949320,1019,4,,
1,1,North,0.0321409,345,2,,
1,1,North East,0.0243153,261,8,,
1,1,North West,0.0225452,242,9,,
1,1,South,0.1253959,1346,3,,
1,1,South East,0.1494317,1604,7,,
1,1,South West,0.0581330,624,6,,
1,1,West,0.0254332,273,5,,
2,1,CBD,0.0448169,492,10,,
2,1,Central,0.3910548,4293,0,,
2,1,Central East,0.0431773,474,1,,
2,1,East,0.0896338,984,4,,
2,1,North,0.0316087,347,2,,
2,1,North East,0.0246857,271,8,,
2,1,North West,0.0257788,283,9,,
2,1,South,0.1194207,1311,3,,
2,1,South East,0.1435598,1576,7,,
2,1,South West,0.0611222,671,6,,
2,1,West,0.0251412,276,5,,
3,1,CBD,0.0431567,811,10,,
3,1,Central,0.4125160,7752,0,,
3,1,Central East,0.0428906,806,1,,
3,1,East,0.0771073,1449,4,,
3,1,North,0.0307578,578,2,,
3,1,North East,0.0234142,440,8,,
3,1,North West,0.0222435,418,9,,
3,1,South,0.1364410,2564,3,,
3,1,South East,0.1280332,2406,7,,
3,1,South West,0.0629523,1183,6,,
3,1,West,0.0204874,385,5,,
4,1,CBD,0.0312894,546,10,,
4,1,Central,0.3799427,6630,0,,
4,1,Central East,0.0456160,796,1,,
4,1,East,0.0810888,1415,4,,
4,1,North,0.0363897,635,2,,
4,1,North East,0.0269914,471,8,,
4,1,North West,0.0269914,471,9,,
4,1,South,0.1253868,2188,3,,
4,1,South East,0.1634957,2853,7,,
4,1,South West,0.0580516,1013,6,,
4,1,West,0.0247564,432,5,,
5,1,CBD,0.0117225,98,10,,
5,1,Central,0.3133971,2620,0,,
5,1,Central East,0.0444976,372,1,,
5,1,East,0.1583732,1324,4,,
5,1,North,0.0444976,372,2,,
5,1,North East,0.0287081,240,8,,
5,1,North West,0.0272727,228,9,,
5,1,South,0.1081340,904,3,,
5,1,South East,0.1870813,1564,7,,
5,1,South West,0.0491627,411,6,,
5,1,West,0.0271531,227,5,,
1,2,CBD,0.0246146,198,10,,
1,2,Central,0.4271507,3436,0,,
1,2,Central East,0.0345599,278,1,,
1,2,East,0.0699901,563,4,,
1,2,North,0.0294630,237,2,,
1,2,North East,0.0223769,180,8,,
1,2,North West,0.0195177,157,9,,
1,2,South,0.1449528,1166,3,,
1,2,South East,0.1594978,1283,7,,
1,2,South West,0.0402785,324,6,,
1,2,West,0.0275982,222,5,,
2,2,CBD,0.0442352,343,10,,
2,2,Central,0.4103688,3182,0,,
2,2,Central East,0.0358525,278,1,,
2,2,East,0.0678360,526,4,,
2,2,North,0.0341759,265,2,,
2,2,North East,0.0251483,195,8,,
2,2,North West,0.0247614,192,9,,
2,2,South,0.1262574,979,3,,
2,2,South East,0.1627547,1262,7,,
2,2,South West,0.0397214,308,6,,
2,2,West,0.0288883,224,5,,
3,2,CBD,0.0346294,505,10,,
3,2,Central,0.4522389,6595,0,,
3,2,Central East,0.0319550,466,1,,
3,2,East,0.0558184,814,4,,
3,2,North,0.0283206,413,2,,
3,2,North East,0.0218748,319,8,,
3,2,North West,0.0233148,340,9,,
3,2,South,0.1503806,2193,3,,
3,2,South East,0.1317287,1921,7,,
3,2,South West,0.0488240,712,6,,
3,2,West,0.0209148,305,5,,
4,2,CBD,0.0275907,377,10,,
4,2,Central,0.4173009,5702,0,,
4,2,Central East,0.0368852,504,1,,
4,2,East,0.0562061,768,4,,
4,2,North,0.0328601,449,2,,
4,2,North East,0.0285422,390,8,,
4,2,North West,0.0271516,371,9,,
4,2,South,0.1489315,2035,3,,
4,2,South East,0.1536885,2100,7,,
4,2,South West,0.0436915,597,6,,
4,2,West,0.0271516,371,5,,
5,2,CBD,0.0132072,81,10,,
5,2,Central,0.3495842,2144,0,,
5,2,Central East,0.0358715,220,1,,
5,2,East,0.1248981,766,4,,
5,2,North,0.0366868,225,2,,
5,2,North East,0.0265775,163,8,,
5,2,North West,0.0242948,149,9,,
5,2,South,0.1160933,712,3,,
5,2,South East,0.1985977,1218,7,,
5,2,South West,0.0392956,241,6,,
5,2,West,0.0348932,214,5,,
1,3,CBD,0.0186954,139,10,,
1,3,Central,0.4259583,3167,0,,
1,3,Central East,0.0317418,236,1,,
1,3,East,0.0711500,529,4,,
1,3,North,0.0381977,284,2,,
1,3,North East,0.0263618,196,8,,
