Day,Hour,Region,% of Total Trip Count,Trip Count,ID
1,23,CBD,1.14%,253,10
1,23,Central,23.02%,5121,0
1,23,Central East,6.17%,1373,1
1,23,East,11.86%,2638,4
1,23,North,7.36%,1638,2
1,23,North East,7.25%,1612,8
1,23,North West,6.88%,1531,9
1,23,South,8.00%,1781,3
1,23,South East,15.25%,3392,7
1,23,South West,8.17%,1817,6
1,23,West,4.91%,1093,5
1,22,CBD,0.90%,241,10
1,22,Central,21.23%,5673,0
1,22,Central East,6.07%,1621,1
1,22,East,13.25%,3540,4
1,22,North,8.19%,2188,2
1,22,North East,8.18%,2185,8
1,22,North West,7.51%,2006,9
1,22,South,7.15%,1911,3
1,22,South East,14.47%,3867,7
1,22,South West,8.00%,2138,6
1,22,West,5.05%,1348,5
1,21,CBD,0.96%,287,10
1,21,Central,21.07%,6289,0
1,21,Central East,6.04%,1804,1
1,21,East,13.68%,4082,4
1,21,North,8.03%,2395,2
1,21,North East,8.41%,2510,8
1,21,North West,7.64%,2279,9
1,21,South,7.07%,2109,3
1,21,South East,14.45%,4311,7
1,21,South West,7.66%,2286,6
1,21,West,5.00%,1492,5
1,20,CBD,1.10%,335,10
1,20,Central,22.49%,6838,0
1,20,Central East,5.74%,1744,1
1,20,East,12.97%,3942,4
1,20,North,7.04%,2141,2
1,20,North East,7.36%,2238,8
1,20,North West,7.14%,2171,9
1,20,South,8.17%,2484,3
1,20,South East,15.07%,4582,7
1,20,South West,8.54%,2595,6
1,20,West,4.37%,1328,5
1,19,CBD,1.48%,449,10
1,19,Central,25.31%,7653,0
1,19,Central East,5.27%,1595,1
1,19,East,12.49%,3776,4
1,19,North,6.33%,1915,2
1,19,North East,5.83%,1762,8
1,19,North West,5.73%,1732,9
1,19,South,8.72%,2636,3
1,19,South East,15.39%,4653,7
1,19,South West,9.31%,2815,6
1,19,West,4.14%,1252,5
1,18,CBD,1.65%,473,10
1,18,Central,28.42%,8135,0
1,18,Central East,4.64%,1329,1
1,18,East,12.32%,3527,4
1,18,North,5.73%,1639,2
1,18,North East,5.36%,1534,8
1,18,North West,5.12%,1466,9
1,18,South,10.12%,2897,3
1,18,South East,14.27%,4084,7
1,18,South West,8.76%,2506,6
1,18,West,3.61%,1033,5
1,17,CBD,1.81%,505,10
1,17,Central,27.56%,7699,0
1,17,Central East,4.99%,1394,1
1,17,East,12.58%,3514,4
1,17,North,6.00%,1677,2
1,17,North East,5.47%,1528,8
1,17,North West,5.28%,1476,9
1,17,South,9.52%,2660,3
1,17,South East,14.27%,3986,7
1,17,South West,9.04%,2526,6
1,17,West,3.48%,972,5
1,16,CBD,1.99%,560,10
1,16,Central,28.07%,7907,0
1,16,Central East,5.18%,1460,1
1,16,East,12.47%,3513,4
1,16,North,5.43%,1530,2
