ID,Region,,,,,,,,,,,,,,,,,Central East,,CBD
1,South ,,,,,,,,,,,,,,,,,,,
2,South West,,,,,,,,,,,,,,,,,,,
3,South ,,,,,,,,,,,,,,,,,,,
4,Central,,,,,,,,,,,,,,,,,,,
5,Central,,,,,,,,,,,,,,,,,,,
6,CBD,,,,,,,,,,,,,,,,,,,
7,CBD,,,,,,,,,,,,,,,,,,,
8,South ,,,,,,,,,,,,,,,,,,,
9,South ,,,,,,,,,,,,,,,,,,,
10,South ,,,,,,,,,,,,,,,,,,,
11,South West,,,,,,,,,,,,,,,,,,,
12,South West,,,,,,,,,,,,,,,,,,,
13,South West,,,,,,,,,,,,,,,,,,,
14,South West,,,,,,,,,,,,,,,,,,,
15,South ,,,,,,,,,,,,,,,,,,,
16,South ,,,,,,,,,,,,,,,,,,,
17,Central,,,,,,,,,,,,,,,,,,,
18,Central,,,,,,,,,,,,,,,,,,,
19,South East ,,,,,,,,,,,,,,,,,,,
20,Central,,,,,,,,,,,,,,,,,,,
21,Central,,,,,,,,,,,,,,,,,,,
22,Central,,,,,,,,,,,,,,,,,,,
23,Central,,,,,,,,,,,,,,,,,,,
24,Central,,,,,,,,,,,,,,,,,,,
25,Central,,,,,,,,,,,,,,,,,,,
26,South West,,,,,,,,,,,,,,,,,,,
27,South West,,,,,,,,,,,,,,,,,,,
28,South West,,,,,,,,,,,,,,,,,,,
29,South West,,,,,,,,,,,,,,,,,,,
30,Central,,,,,,,,,,,,,,,,,,,
31,Central,,,,,,,,,,,,,,,,,,,
32,Central,,,,,,,,,,,,,,,,,,,
33,Central,,,,,,,,,,,,,,,,,,,
34,Central East,,,,,,,,,,,,,,,,,,,
35,Central East,,,,,,,,,,,,,,,,,,,
36,Central East,,,,,,,,,,,,,,,,,,,
37,South East ,,,,,,,,,,,,,,,,,,,
38,South East ,,,,,,,,,,,,,,,,,,,
39,South East ,,,,,,,,,,,,,,,,,,,
40,South East ,,,,,,,,,,,,,,,,,,,
41,South East ,,,,,,,,,,,,,,,,,,,
42,South East ,,,,,,,,,,,,,,,,,,,
43,South East ,,,,,,,,,,,,,,,,,,,
44,South East ,,,,,,,,,,,,,,,,,,,
45,South East ,,,,,,,,,,,,,,,,,,,
46,South East ,,,,,,,,,,,,,,,,,,,
47,South East ,,,,,,,,,,,,,,,,,,,
48,South East ,,,,,,,,,,,,,,,,,,,
49,East ,,,,,,,,,,,,,,,,,,,
50,East ,,,,,,,,,,,,,,,,,,,
51,East ,,,,,,,,,,,,,,,,,,,
52,East ,,,,,,,,,,,,,,,,,,,
53,Central East,,,,,,,,,,,,,,,,,,,
54,North East ,,,,,,,,,,,,,,,,,,,
55,Central East,,,,,,,,,,,,,,,,,,,
56,Central,,,,,,,,,,,,,,,,,,,
57,Central,,,,,,,,,,,,,,,,,,,
58,South West,,,,,,,,,,,,,,,,,,,
59,South West,,,,,,,,,,,,,,,,,,,
60,South West,,,,,,,,,,,,,,,,,,,
61,West,,,,,,,,,,,,,,,,,,,
62,West,,,,,,,,,,,,,,,,,,,
63,West,,,,,,,,,,,,,,,,,,,
64,West,,,,,,,,,,,,,,,,,,,
65,North West,,,,,,,,,,,,,,,,,,,
66,North West,,,,,,,,,,,,,,,,,,,
67,North West,,,,,,,,,,,,,,,,,,,
68,North West,,,,,,,,,,,,,,,,,,,
69,West,,,,,,,,,,,,,,,,,,,
70,North West,,,,,,,,,,,,,,,,,,,
71,North West,,,,,,,,,,,,,,,,,,,
72,North West,,,,,,,,,,,,,,,,,,,
73,North,,,,,,,,,,,,,,,,,,,
74,East ,,,,,,,,,,,,,,,,,,,
75,North,,,,,,,,,,,,,,,,,,,
76,North,,,,,,,,,,,,,,,,,,,
77,North,,,,,,,,,,,,,,,,,,,
78,North,,,,,,,,,,,,,,,,,,,
79,North East ,,,,,,,,,,,,,,,,,,,
80,North East ,,,,,,,,,,,,,,,,,,,
81,East ,,,,,,,,,,,,,,,,,,,
82,North East ,,,,,,,,,,,,,,,,,,,
90,East ,,,,,,,,,,,,,,,,,,,
93,West,,,,,,,,,,,,,,,,,,,
95,North,,,,,,,,,,,,,,,,,,,
97,North West,,,,,,,,,,,,,,,,,,,
99,East ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,
